Province_State,Country_Region,Lat,Long_
Georgia,US,33.0406,-83.6431
Colorado,US,39.0598,-105.3111
Florida,US,27.7663,-81.6868
New Jersey,US,40.2989,-74.521
Oregon,US,44.571999999999996,-122.0709
Texas,US,31.0545,-97.5635
Illinois,US,40.3495,-88.9861
Pennsylvania,US,40.5908,-77.2098
Macau,Macao SAR,22.1667,113.55
,Russian Federation,60.0,90.0
Iowa,US,42.0115,-93.2105
Maryland,US,39.0639,-76.8021
North Carolina,US,35.6301,-79.8064
South Carolina,US,33.8569,-80.945
Tennessee,US,35.7478,-86.6923
Virginia,US,37.7693,-78.17
Arizona,US,33.7298,-111.4312
Indiana,US,39.8494,-86.2583
Kentucky,US,37.6681,-84.6701
District of Columbia,US,38.8974,-77.0268
Nevada,US,38.3135,-117.0554
New Hampshire,US,43.4525,-71.5639
,Republic of Moldova,47.4116,28.3699
Minnesota,US,45.6945,-93.9002
Nebraska,US,41.1254,-98.2681
Ohio,US,40.3888,-82.7649
Rhode Island,US,41.6809,-71.5118
Wisconsin,US,44.2685,-89.6165
,Saint Martin,18.0708,-63.0501
Connecticut,US,41.5978,-72.7554
Hawaii,US,21.0943,-157.4983
Oklahoma,US,35.5653,-96.9289
Utah,US,40.15,-111.8624
,Burkina Faso,12.2383,-1.5616
,Channel Islands,49.3723,-2.3644
,Holy See,41.9029,12.4534
,Mongolia,46.8625,103.8467
,Nepal,28.3949,84.124
,Panama,8.538,-80.7821
,Sri Lanka,7.8731,80.7718
Kansas,US,38.5266,-96.7265
Louisiana,US,31.1695,-91.8678
Missouri,US,38.4561,-92.2884
Vermont,US,44.0459,-72.7107
Alaska,US,61.3707,-152.4044
Arkansas,US,34.9697,-92.3731
Delaware,US,39.3185,-75.5071
Idaho,US,44.2405,-114.4788
Maine,US,44.6939,-69.3819
Michigan,US,43.3266,-84.5361
Mississippi,US,32.7416,-89.6787
Montana,US,46.9219,-110.4544
New Mexico,US,34.8405,-106.2485
North Dakota,US,47.5289,-99.78399999999999
South Dakota,US,44.2998,-99.4388
West Virginia,US,38.4912,-80.9545
Wyoming,US,42.756,-107.3025
Hubei,China,30.9756,112.2707
,"Korea, South",36.0,128.0
France,France,46.2276,2.2137
Guangdong,China,23.3417,113.4244
Henan,China,33.882,113.61399999999999
Zhejiang,China,29.1832,120.0934
Hunan,China,27.6104,111.7088
Anhui,China,31.8257,117.2264
Jiangxi,China,27.614,115.7221
Shandong,China,36.3427,118.1498
Diamond Princess,Cruise Ship,35.4437,139.638
Jiangsu,China,32.9711,119.455
Chongqing,China,30.0572,107.874
Sichuan,China,30.6171,102.7103
Heilongjiang,China,47.861999999999995,127.7615
UK,United Kingdom,55.3781,-3.4360000000000004
Denmark,Denmark,56.2639,9.5018
Beijing,China,40.1824,116.4142
Shanghai,China,31.201999999999998,121.4491
Hebei,China,39.549,116.1306
Fujian,China,26.0789,117.9874
Guangxi,China,23.8298,108.7881
Shaanxi,China,35.1917,108.8701
Yunnan,China,24.974,101.48700000000001
Hainan,China,19.1959,109.7453
Guizhou,China,26.8154,106.8748
Tianjin,China,39.3054,117.323
Shanxi,China,37.5777,112.2922
Gansu,China,37.8099,101.0583
Hong Kong,China,22.3,114.2
Liaoning,China,41.2956,122.6085
Jilin,China,43.6661,126.1923
,Czechia,49.8175,15.472999999999999
Xinjiang,China,41.1129,85.2401
Inner Mongolia,China,44.0935,113.9448
Ningxia,China,37.2692,106.1655
,Taiwan*,23.7,121.0
Qinghai,China,35.7452,95.9956
Macau,China,22.1667,113.55
,Cambodia,12.5657,104.991
,Bolivia,-16.2902,-63.5887
Faroe Islands,Denmark,61.8926,-6.9118
St Martin,France,18.0708,-63.0501
,Honduras,15.2,-86.2419
Channel Islands,United Kingdom,49.3723,-2.3644
New Brunswick,Canada,46.5653,-66.4619
Tibet,China,31.6927,88.0924
,Congo (Kinshasa),-4.0383,21.7587
,Cote d'Ivoire,7.54,-5.5471
Saint Barthelemy,France,17.9,-62.8333
,Jamaica,18.1096,-77.2975
,Reunion,-21.1151,55.5364
,Turkey,38.9637,35.2433
